date,name,position,team,opp,evG/60,evA/60,evSH/60,evBkS/60,evixG/60,mean_TOI,lmevixG/60,pplmevixG/60,implied_team_score,ppg_projection,salary,TOI,FP/60,FP,value
21_02_10,Craig Smith,W,BOS,NYR,1.3354354075860113,0.5007882778447543,11.6850598163776,1.3354354075860113,1.0149309097653687,14.301666666666701,0.5836632475184109,0.5277420539460781,3.1,10.0,4400,13.4500000000003,21.412639405203983,4.800000000000001,1.0909090909090913
21_02_10,David Krejci,C,BOS,NYR,0.13760415870346315,1.2384374283311683,4.953749713324673,2.064062380551947,0.42657289198073584,16.908333333333317,0.8778422564107273,0.8219210628383946,3.1,10.8,5800,15.5166666666663,0.0,0.0,0.0
21_02_10,David Pastrnak,W,BOS,NYR,1.6941840856504256,1.6941840856504256,12.70638064237819,1.55300207851289,0.9896858700341237,17.94999999999994,0.8963574285060248,0.8444894866893785,3.1,20.9,8600,20.233333333333,18.978583196046444,6.4,0.744186046511628
21_02_10,Ilya Mikheyev,W,TOR,MTL,0.6035964287211311,1.5089910718028277,8.7521482164564,1.6598901789831104,0.7680764555476394,15.154999999999983,0.6095133713783831,0.7662473259636403,3.3,9.4,3300,16.000000000000327,62.99999999999871,16.8,5.090909090909091
21_02_10,Jake Evans,W,MTL,TOR,0.7068094912903917,0.3043928808032181,6.205776913369895,1.6911435181557983,0.5090185392156166,11.289711814355593,0.5435164419465534,0.0,3.3,4.1,3100,9.7,9.896907216494848,1.6,0.5161290322580645
21_02_10,Jason Spezza,C,TOR,MTL,0.9126632019267374,1.3689948028901062,7.3013056154138996,2.2816580048168436,0.7552287995943753,10.57722222222219,0.46373564728586397,0.7705298779480617,3.3,4.4,3500,10.15,0.0,0.0,0.0
21_02_10,Jesperi Kotkaniemi,C,MTL,TOR,0.5442176870748291,0.9070294784580484,6.893424036281167,2.3582766439909255,0.4879818594104302,13.146111111111132,1.0010593339575584,1.0374705618306015,3.3,8.4,4700,15.516666666667,24.74758324382332,6.4,1.3617021276595744
21_02_10,Jimmy Vesey,W,TOR,MTL,0.8017817371937639,0.4810690423162583,5.7728285077951,1.6035634743875278,0.5853006681514474,13.359444444444442,0.7009012650764791,0.0,3.3,3.0,3300,9.6666666666667,0.0,0.0,0.0
21_02_10,John Tavares,C,TOR,MTL,0.5139369713408772,1.7987793996930705,8.094507298618819,1.6702951568578515,0.7015239658802975,18.42777777777774,0.909787103691227,0.9847201155029395,3.3,12.9,7100,15.466666666667,80.68965517241205,20.8,2.9295774647887325
21_02_10,Jonathan Drouin,W,MTL,TOR,0.7928118393234672,1.4270613107822407,5.549682875264271,0.9513742071881606,0.5422832980972517,15.151666666666667,0.8475836431226806,0.9499007703459327,3.3,10.0,4600,14.7500000000003,39.050847457626325,9.6,2.0869565217391304
21_02_10,Julien Gauthier,W,NYR,BOS,0.34858884043666194,0.8728379141424744,5.673429680712884,3.0000287804590315,0.682712910712704,8.804704700591289,0.7148464577290337,0.0,2.4,3.2,3200,6.9,160.00000000000003,18.4,5.75
21_02_10,Kaapo Kakko,W,NYR,BOS,0.8587376556461991,0.34349506225847964,8.415629025332752,1.030485186775439,0.6131386861313862,13.011666666666672,0.9109623199677984,0.9968164781818469,2.4,6.8,3700,19.3499999999997,14.88372093023279,4.800000000000001,1.2972972972972974
21_02_10,Kevin Rooney,C,NYR,BOS,0.6338400140853317,0.8451200187804423,7.817360173719091,3.59176007981688,0.6655320147895984,11.554444444444472,0.7234369056905864,0.0,2.4,3.2,3400,11.9,84.70588235294119,16.8,4.9411764705882355
21_02_10,Mika Zibanejad,C,NYR,BOS,1.8639053254437898,0.9319526627218949,8.121301775147941,2.662721893491128,0.7282544378698235,21.387222222222196,0.7228947062639787,0.6794139989227763,2.4,14.3,6200,21.8166666666664,26.40183346065731,9.6,1.5483870967741935
21_02_10,Mitchell Marner,W,TOR,MTL,0.9443551824769656,1.7706659671443106,6.020264288290655,1.5345771715250691,0.936092074630292,22.569999999999997,1.0090341359392632,0.9065307459196079,3.3,10.6,8100,21.766666666667,8.820826952526666,3.2,0.39506172839506176
21_02_10,Nick Ritchie,W,BOS,NYR,0.7813856572321585,1.093939920125022,6.56363952075013,1.562771314464317,0.7407536030560861,14.779999999999998,0.7207519008730523,0.9274669090153912,3.1,9.4,4200,13.4333333333337,0.0,0.0,0.0
21_02_10,Nick Suzuki,C,MTL,TOR,0.43170643962105976,1.1512171723228262,7.9146180597194284,1.8707279050245924,0.8475836431226806,17.279444444444373,0.5422832980972517,0.8481339886707895,3.3,11.8,6100,19.4499999999996,14.807197943445038,4.800000000000001,0.7868852459016394
21_02_10,Patrice Bergeron,C,BOS,NYR,1.1148962527098127,1.4334380391983308,9.556253594655539,3.0261469716409204,0.9683670309250944,17.701666666666732,0.9070168480605395,0.8515957663923883,3.1,16.0,8100,19.433333333333,34.57975986277932,11.2,1.382716049382716
21_02_10,Pavel Buchnevich,W,NYR,BOS,1.0955985848518246,1.917297523490693,8.764788678814597,0.8216989386388686,0.7819834899379897,18.436666666666714,0.6960301802298956,0.6615043149000542,2.4,12.4,5400,21.5999999999996,4.444444444444526,1.6,0.2962962962962963
21_02_10,Phillip Danault,C,MTL,TOR,0.14578440106908536,1.749412812829024,5.248238438487072,1.749412812829024,0.5845954482870322,17.163888888888923,1.0374705618306015,0.0,3.3,8.5,4000,15.516666666666334,12.37379162191219,3.2,0.8
21_02_10,Phillip Di Giuseppe,W,NYR,BOS,0.1811411894938118,1.4491295159504944,10.143906611653462,4.890812116332919,0.5126295662674875,11.394444444444392,0.4557724484104853,0.0,2.4,5.2,3500,11.566666666667,0.0,0.0,0.0
21_02_10,Ryan Strome,C,NYR,BOS,1.1139044672210423,0.9746664088184119,10.02514020498938,1.8100947592341938,1.2294720556952252,19.65444444444442,0.602795635185879,0.6886497933999275,2.4,9.4,4900,17.93333333333333,32.1189591078067,9.6,1.9591836734693877
21_02_10,Sean Kuraly,C,BOS,NYR,0.712448050662979,0.8905600633287237,8.015040569958515,2.315456164654682,0.49871363546408526,13.237222222222128,0.630632039129273,0.0,3.1,4.2,3600,12.5166666666663,46.01864181092013,9.6,2.6666666666666665
21_02_10,Tomas Tatar,W,MTL,TOR,1.067570429993639,1.9826307985596152,8.083033255666123,1.9826307985596152,0.7808515145096331,15.221666666666746,0.9393425287193011,0.891035734281,3.3,11.6,5800,14.1166666666667,91.80637544273884,21.6,3.724137931034483
21_02_10,Travis Boyd,C,TOR,MTL,0.7790521532135892,1.7528673447305758,4.479549880978138,2.14239342133737,0.5180696818870368,11.264444444444454,0.5823152061395331,0.0,3.3,3.8,3100,9.8333333333333,9.762711864406814,1.6,0.5161290322580645
21_02_10,Trent Frederic,C,BOS,NYR,0.27591008225637464,0.5660983769139314,5.101681836862046,1.4089243663869069,0.4199428347352289,10.704262579943572,0.6700174394937012,0.0,3.1,2.8,3000,8.75,0.0,0.0,0.0
21_02_10,Tyler Toffoli,W,MTL,TOR,2.0151133501259526,0.7196833393306972,13.09823677581869,1.1514933429291156,1.2724001439366732,17.551111111111048,0.6088501916944369,0.7065284883994586,3.3,12.7,6700,18.7833333333336,20.44365572315854,6.4,0.9552238805970149
21_02_10,William Nylander,W,TOR,MTL,0.96492571603615,1.102772246898457,7.168019604839971,1.5163118394853785,0.909787103691227,17.250555555555497,0.7015239658802975,0.7190104432491111,3.3,11.1,6400,15.6666666666667,12.255319148936143,3.2,0.5
21_02_10,Zach Hyman,W,TOR,MTL,1.140363226805576,0.886949176404337,6.462058285231597,1.9006053780092933,1.0288610446290312,20.07499999999999,0.9626496509398936,0.8756077559200283,3.3,10.3,4900,18.3833333333333,91.38712601994575,28.0,5.714285714285714
21_02_10,Adam Fox,D,NYR,BOS,0.21340921216432546,1.3871598790681157,4.801707273697323,5.762048728436789,0.1888671527654281,22.42722222222218,0.141679841232467,0.691624108659538,2.4,14.5,4500,26.1833333333333,29.331635900700228,12.8,2.8444444444444446
21_02_10,Alexander Romanov,D,MTL,TOR,0.20987036040353135,0.42104289063418826,4.8140519897675365,3.513914493108458,0.18307366469676517,15.761588685146895,0.15142453419210566,0.0,3.3,4.9,3700,18.033333333333,47.91127541589736,14.4,3.891891891891892
