date,name,position,evG/60,evA/60,evSH/60,evBkS/60,evixG/60,lmevixG/60,pplmevixG/60,implied_team_score,FP/60
21_01_21,Brock Nelson,C,1.3617793917385486,1.4979573309124032,5.447117566954194,1.6341352700862584,0.6250567408079939,0.7664426280528689,0.5866343599115685,3.0,72.15270413573701
21_01_21,Cal Clutterbuck,W,0.3583515827194906,0.537527374079236,4.479394783993633,3.2251642444754154,0.4103125622138167,0.5616038429850517,0.0,3.0,6.114649681528663
21_01_21,Cam Atkinson,W,1.1632603602875855,0.5816301801437928,10.614750787624219,1.7448905404313786,0.9625979481379772,0.7432273989412799,0.6177072368527929,2.5,39.47516401124649
21_01_21,Casey Cizikas,C,0.6908131446390006,0.0,5.008395298632755,2.5905492923962528,0.5733749100503706,0.4800726690667748,0.0,3.0,6.0887949260041
21_01_21,Cedric Paquette,W,0.610652493497684,0.20355083116589462,5.495872441479156,5.088770779147366,0.6818952844057468,0.5324876900641367,0.0,2.9,25.945945945945947
21_01_21,Charlie Coyle,C,1.0266438523588337,0.7333170373991668,6.746516744072337,2.199951112197501,0.6746516744072336,0.7062967026036867,0.5500209876384933,2.9,59.178082191779545
21_01_21,Chris Tierney,C,0.8174696287325461,1.0899595049767279,5.586042463005731,2.1799190099534558,0.5831283351625495,0.6813463578074836,0.0,2.9,65.27999999999984
21_01_21,Chris Wagner,W,0.5872118312309701,0.0,8.416702914310571,2.15311004784689,0.9101783384080034,0.4643273907741787,0.0,2.9,28.56198347107448
21_01_21,Claude Giroux,W,0.5541018931814687,1.3852547329536717,6.372171771586891,0.5541018931814687,0.5236262890564881,0.6183379979783433,0.5160459731456467,2.6,32.34875444839799
21_01_21,Colin White,C,0.4679781610191529,1.247941762717741,4.991767050870964,2.1838980847560467,0.6036918277147072,0.5715894184096565,0.5339779634143011,2.9,0.0
21_01_21,Connor Brown,W,0.7969891520920964,1.3283152534868274,7.969891520920964,1.5939783041841928,0.8169138808943989,0.5644535849415591,0.4806724501193783,2.9,42.31404958677773
21_01_21,Connor Bunnaman,C,0.3536436252176648,0.39759994828172307,5.470632668922279,1.0535793090932752,0.3706247818359396,0.485355274271119,0.0,2.6,17.066666666666666
21_01_21,Craig Smith,W,0.8978899585972971,0.5387339751583783,10.595101511448108,1.6162019254751347,0.9804958347882488,0.5533746224131791,0.47355994754323955,2.9,58.97610921501828
21_01_21,David Krejci,C,0.5418422636965673,1.0836845273931346,5.282962071041532,2.0319084888621277,0.5933172787477414,0.6703648772361671,0.8333897520943162,2.9,73.67292225200953
21_01_21,Derek Stepan,C,0.5806685753457796,1.1613371506915593,8.710028630186695,3.774345739747568,0.585023589660873,0.6076050994922731,0.5386450229277597,2.9,17.245508982035552
21_01_21,Drake Batherson,W,0.3561306584855063,0.5247228187347133,5.9938875845633754,2.1303530380942113,0.5042013282044611,0.8842217037849539,0.6708708459671594,2.9,19.11504424778757
21_01_21,Dustin Brown,W,1.0393359797906878,0.6495849873691798,9.224106820642355,1.1692529772645237,0.914615662215805,0.4936355880450821,0.537813365461951,2.1,20.116414435389945
21_01_21,Elias Pettersson,C,0.692813979446517,1.385627958893034,5.958200223240046,2.6326931218967644,0.7898079365690295,0.681650591693745,0.5944472454235141,3.1,0.0
21_01_21,Emil Bemstrom,W,0.6705471478463336,0.3352735739231668,7.711292200232837,2.0116414435390007,0.585052386495926,0.5402760282715149,0.5075104654672413,2.5,8.47058823529407
21_01_21,Eric Robinson,W,0.36574215178299263,0.18287107589149632,7.86345626333434,1.2800975312404743,0.5998171289241078,0.42994292426001235,0.0,2.5,9.812606473594585
21_01_21,Evgenii Dadonov,W,0.612713811590502,0.306356905795251,7.352565739086024,1.6849629818738803,0.6647944855756945,0.5677196515348624,0.6307225566243511,2.9,6.301969365426711
21_01_21,Gabriel Landeskog,W,1.345200081527281,1.2229091650248012,7.215164073646327,2.690400163054562,0.973435695359742,0.7888417948888875,0.6690419859339575,3.4,21.768707482993225
