date,name,position,team,opp,evG/60,evA/60,evSH/60,evBkS/60,evixG/60,mean_TOI,lmevixG/60,pplmevixG/60,implied_team_score,ppg_projection,salary
21_03_05,Brandon Hagel,W,CHI,TBL,0.31854714885652474,1.0355448333852593,7.025267110499846,2.1251251670026434,0.6003972323505339,12.204683710991832,0.7245325436814225,0.0,2.6,5.5,3400
21_03_05,Brandon Saad,W,COL,ANA,1.2135001896094075,0.7584376185058797,7.736063708759973,0.7584376185058797,0.6416382252559741,15.529444444444408,0.7306140964035103,0.45661468166330055,3.3,8.1,4500
21_03_05,Brayden Point,C,TBL,CHI,1.0732652604904234,1.3415815756130292,6.439591562942541,1.6098978907356352,0.814340016397109,18.234999999999996,0.8159850740881425,0.7728176069384226,3.5,13.6,7300
21_03_05,Brayden Schenn,C,STL,LAK,1.4898092906162717,1.3656585163982489,7.200744904645313,1.3656585163982489,0.7411801220815951,18.93722222222222,0.4533350045565462,0.46113092659037136,2.9,11.6,6300
21_03_05,Carl Grundstrom,W,LAK,STL,0.5160303884562075,0.5160303884562075,6.19236466147449,2.06412155382483,0.550432414353288,12.595000000000034,0.6889263830920889,0.7238405200638969,2.6,6.3,3200
21_03_05,Carl Hagelin,W,WSH,BOS,0.8751458576429446,0.8751458576429446,9.101516919486626,0.8751458576429446,1.011668611435244,14.647777777777714,0.724060414814151,0.0,2.8,4.7,3300
21_03_05,Carl Soderberg,C,CHI,TBL,0.643748044168266,1.1265590772944656,8.529661585229524,2.0921811435468647,0.9076847422772553,14.899444444444498,0.49156450788402606,0.8947347329206918,2.6,8.8,3300
21_03_05,Chandler Stephenson,C,VGK,SJS,0.5676890325632786,1.1353780651265573,5.251123551210327,1.8449893558306556,0.3959631002128868,16.517777777777653,0.8773364287618961,0.7042325162939388,3.5,7.8,4400
21_03_05,Chris Wagner,W,BOS,WSH,0.5889088827089796,0.19630296090299318,7.655815475216735,2.3556355308359183,0.7655815475216734,11.815555555555578,0.39448968553170805,0.0,3.2,3.3,3000
21_03_05,Christian Dvorak,C,ARI,MIN,0.4240615674572006,0.8481231349144012,5.37144652112454,2.2616616931050695,0.805716978168681,18.370000000000022,0.8296931706169633,0.8632827113706742,2.6,10.7,4900
21_03_05,Christian Fischer,W,ARI,MIN,0.19898297590095088,0.19898297590095088,5.173557373424724,1.790846783108558,0.46562016360822517,10.919999999999993,0.6432569117335272,0.0,2.6,4.3,3000
21_03_05,Clayton Keller,W,ARI,MIN,1.1300765155974077,1.4125956444967593,8.334314302530881,1.1300765155974077,0.8489699823425525,16.771666666666693,0.5871841904074157,0.8488650433127173,2.6,9.8,5900
21_03_05,Cody Glass,C,VGK,SJS,0.17636684303350922,1.0582010582010555,4.056437389770712,1.4109347442680737,0.35802469135802384,13.198333333333359,0.6856832902361343,0.7168786525788929,3.5,7.7,3700
21_03_05,Conor Garland,W,ARI,MIN,1.1363636363636347,1.7045454545454521,9.517045454545443,0.9943181818181805,0.9289772727272715,16.971666666666682,0.7680630233376682,0.8221959465178109,2.6,12.1,5700
21_03_05,Conor Sheary,W,WSH,BOS,0.9940174873446852,0.8283479061205711,5.467096180395769,1.8223653934652562,0.6427979751495633,12.761111111111108,0.6964448072758167,0.5126434904032343,2.8,6.4,3800
21_03_05,Craig Smith,W,BOS,WSH,0.6440071556350584,0.6440071556350584,11.914132379248581,1.2880143112701168,0.9676207513416752,14.462777777777863,0.5174978339023049,0.5325178288612695,3.2,8.8,4000
21_03_05,Dakota Joshua,W,STL,LAK,0.730710206125485,0.6182950556024418,4.933991392957765,1.4044891946418645,0.5062910672455474,10.47304276219046,0.6777433823993962,0.0,2.9,2.3,3000
21_03_05,Danton Heinen,W,ANA,COL,0.7810804946843143,0.6248643957474515,6.56107615534824,2.499457582989806,0.7982642655673691,14.793333333333319,0.5282057637701765,0.0,2.2,4.8,3300
21_03_05,David Backes,W,ANA,COL,0.4150334332487897,1.0375835831219744,10.998385981092927,4.150334332487898,0.7906386903389444,10.59666666666666,0.5320185513843889,0.0,2.2,3.2,3100
21_03_05,David Kampf,C,CHI,TBL,0.17759360663016094,0.8879680331508047,5.150214592274668,0.7103744265206438,0.5132455231611651,13.731111111111128,0.7681083982761069,0.0,2.6,5.3,3000
21_03_05,David Krejci,C,BOS,WSH,0.0,0.9705372616984433,4.159445407279042,2.079722703639521,0.3383015597920288,16.77055555555551,0.832157429677128,0.8471774246360927,3.2,8.9,5300
21_03_05,David Pastrnak,W,BOS,WSH,1.951975213013177,2.0914020139426897,12.68783888458565,1.6731216111541518,0.9592563903950472,17.764444444444383,0.744206180909746,0.7283688232773576,3.2,17.6,8400
21_03_05,David Perron,W,STL,LAK,0.7752494436867446,1.2920824061445741,5.685162587036126,0.904457684301202,0.35790682650204714,18.200555555555503,0.6449716523463201,0.5888886917835541,2.9,11.3,7000
