"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"139","William Nylander","TOR","R","1","1.2666666666667","1.2666666666667","0","0","0","0","0","-","47.37","0.00","3.55","47.37","47.37","47.37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"140","Nikolaj Ehlers","WPG","L","1","2.25","2.25","0","0","0","0","0","-","26.67","0.00","1.04","26.67","26.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"141","Robby Fabbri","DET","C","1","3.6333333333333","3.6333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16.51","0","0","33.03","33.03","825.69"
"142","Kasperi Kapanen","PIT","R","1","1.25","1.25","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"143","Jared McCann","PIT","C","1","1.5333333333333","1.5333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"144","Brendan Lemieux","NYR","L","1","0.96666666666667","0.96666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","62.07","0.00"
"145","Brayden Point","T.B","C","1","1.4666666666667","1.4666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","81.82","0.00"
"146","Viktor Arvidsson","NSH","R","1","0.61666666666667","0.61666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"147","Gustav Forsling","FLA","D","1","0.68333333333333","0.68333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"148","Oskar Lindblom","PHI","L","1","1.1666666666667","1.1666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"149","Anthony Angello","PIT","C","1","1.15","1.15","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"150","Pierre Engvall","TOR","L","1","0.11666666666667","0.11666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","514.29","0.00"
"151","Andrew Mangiapane","CGY","L","1","0.63333333333333","0.63333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"152","Frank Vatrano","FLA","C","1","1.1333333333333","1.1333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"153","Rasmus Andersson","CGY","D","1","1.3666666666667","1.3666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"154","Kyle Connor","WPG","L","1","1.9333333333333","1.9333333333333","0","0","0","0","0","-","0","-","1.19","31.03","31.03","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"155","Colin White","OTT","C","1","2.7333333333333","2.7333333333333","0","0","0","0","0","0.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"156","Pavel Zacha","N.J","C","1","3.45","3.45","0","0","0","0","0","-","17.39","0.00","2.49","52.17","34.78","34.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34.78","17.39","1159.42"
"157","Sebastian Aho","CAR","C","1","2.1166666666667","2.1166666666667","0","0","0","0","0","0.00","56.69","0.00","4.27","56.69","56.69","56.69","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"159","Travis Konecny","PHI","R","1","1.5833333333333","1.5833333333333","0","37.89","37.89","0","37.89","100.00","37.89","0.00","4.7","37.89","37.89","37.89","37.89","0","0","0","0","0","0","0","0","0","0","0","0","37.89","0","0","-"
"160","Brock Boeser","VAN","R","1","1.0333333333333","1.0333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"161","Mathew Barzal","NYI","C","1","1.7166666666667","1.7166666666667","0","0","0","0","0","-","34.95","0.00","2.53","34.95","34.95","34.95","0","0","34.95","0","0","0","0","0","0","0","0","0","34.95","0","34.95","0","3495.15"
"162","Jack Roslovic","CBJ","C","1","2.5666666666667","2.5666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23.38","0","0","0","-"
"163","Zach Werenski","CBJ","D","1","2.5666666666667","2.5666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"164","Anthony Beauvillier","NYI","L","1","1.6","1.6","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"165","Thomas Chabot","OTT","D","1","4.3333333333333","4.3333333333333","0","0","0","0","0","-","0","-","0.45","13.85","13.85","0","0","0","0","0","0","0","0","0","0","13.85","0","0","13.85","0","0","0","-"
