"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"295","Dillon Dube","CGY","C","1","10.083333333333","10.083333333333","17.85","0","0","0","17.85","100.00","17.85","100.00","1.45","23.8","23.8","23.8","17.85","0","0","0","0","0","0","0","0","5.95","0","0","11.9","0","0","0","-"
"296","Brett Howden","NYR","C","1","11.6","11.6","0","0","0","0","0","-","5.17","0.00","0.13","5.17","5.17","5.17","0","0","0","0","0","0","0","0","0","0","5.17","5.17","5.17","5.17","20.69","31.03","206.90"
"297","Dante Fabbro","NSH","D","1","16.783333333333","16.783333333333","0","0","0","0","0","-","0","-","0","3.57","0","3.57","3.57","0","0","0","0","0","0","0","0","7.15","0","0","3.57","10.72","0","0","-"
"298","Nick Caamano","DAL","R","1","10.05","10.05","0","0","0","0","0","0.00","11.94","0.00","1.12","17.91","11.94","11.94","0","0","0","0","0","0","0","0","0","11.94","5.97","11.94","0","0","0","0","-"
"299","Connor Bunnaman","PHI","C","1","7.5166666666667","7.5166666666667","0","0","0","0","0","-","7.98","0.00","0.78","7.98","7.98","7.98","7.98","0","0","0","0","0","0","0","0","0","15.96","15.96","7.98","0","7.98","0","798.23"
"300","Pierre-Luc Dubois","WPG","L","1","14.45","14.45","4.15","0","0","0","4.15","100.00","12.46","33.33","1.54","16.61","12.46","8.3","0","0","4.15","0","0","0","0","0","0","0","0","4.15","8.3","4.15","16.61","37.37","127.76"
"301","Jake Bean","CAR","D","1","14.733333333333","14.733333333333","0","0","0","0","0","-","8.14","0.00","0.3","12.22","8.14","0","0","0","0","0","0","0","0","0","0","0","4.07","0","4.07","4.07","0","0","-"
"302","Jesper Bratt","N.J","L","1","9.7666666666667","9.7666666666667","0","0","0","0","0","-","18.43","0.00","1.45","24.57","24.57","12.29","12.29","0","0","0","0","0","0","0","0","0","0","6.14","12.29","0","0","0","-"
"303","Mikhail Sergachev","T.B","D","1","23.1","23.1","0","0","0","0","0","-","5.19","0.00","0.22","12.99","7.79","2.6","0","0","2.6","0","0","0","0","0","0","5.19","2.6","5.19","7.79","7.79","0","0","-"
"304","Nathan Bastian","N.J","R","1","11.15","11.15","0","0","0","0","0","-","0","-","0.38","5.38","5.38","5.38","5.38","0","0","0","0","0","0","0","0","0","5.38","16.14","5.38","0","5.38","0","538.12"
