"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"143","Mats Zuccarello","MIN","C","1","11.25","0","0","0","0","0","0.00","1","0.00","0.08","1","1","1","1","1","0","0","0","0","0","0","0","1","0","0","2","0","0","0","-"
"145","Justin Holl","TOR","D","1","16.25","0","0","0","0","0","0.00","2","0.00","0.05","6","3","4","0","1","0","0","0","0","0","0","0","0","0","1","2","0","0","0","-"
"148","Johan Larsson","BUF","L","1","10.833333333333","0","0","0","0","0","-","2","0.00","0.09","2","2","1","0","0","0","0","0","0","0","0","0","0","0","1","3","0","1","3","25.00"
"149","Charlie Coyle","BOS","C","1","14.016666666667","0","0","0","0","0","-","2","0.00","0.22","3","3","3","1","0","0","2","1","1","0","0","0","0","1","0","0","0","4","5","44.44"
"150","Jon Merrill","VGK","D","1","18.15","0","0","0","0","0","0.00","1","0.00","0.03","3","2","1","0","0","0","0","0","0","0","0","0","0","0","1","3","2","0","0","-"
"151","Tyler Pitlick","PHI","C","1","10.966666666667","0","0","0","0","0","0.00","1","0.00","0.06","1","1","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","-"
"152","Justin Faulk","STL","D","1","19.566666666667","0","0","0","0","0","-","1","0.00","0.07","2","2","0","0","0","0","0","0","0","0","0","0","1","0","2","0","2","0","0","-"
"155","Cam Fowler","ANA","D","1","20.6","0","0","0","0","0","-","1","0.00","0.01","1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1","3","0","0","-"
"156","Austin Watson","NSH","L","1","4.5833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","3","25.00"
"157","Jaden Schwartz","STL","C","1","14.85","0","0","0","0","0","-","1","0.00","0.19","3","2","2","2","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","-"
"158","Riley Sheahan","EDM","C","1","7.3166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","5","3","62.50"
"159","Chris Wagner","BOS","R","1","11.916666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","2","1","1","0","0","0","0","1","1","0","2","1","0","100.00"
"160","Jeff Skinner","BUF","C","1","13.566666666667","0","0","0","0","0","-","4","0.00","0.31","7","5","5","2","0","0","0","0","0","0","0","0","0","2","0","1","0","1","2","33.33"
"161","Zach Hyman","TOR","C","1","14.533333333333","0","0","0","0","0","0.00","2","0.00","0.2","5","3","4","2","0","2","0","0","0","0","0","0","0","0","2","1","2","0","0","-"
"166","Dylan McIlrath","DET","D","1","6.95","0","0","0","0","0","-","2","0.00","0.13","2","2","1","1","0","0","6","3","3","0","0","0","0","0","1","1","1","0","0","-"
"167","Mark Pysyk","FLA","D","1","16.116666666667","0","0","0","0","0","0.00","1","0.00","0.02","1","1","0","0","0","0","0","0","0","0","0","0","1","2","0","1","3","0","0","-"
"169","Nino Niederreiter","CAR","R","1","10.85","0","0","0","0","0","-","3","0.00","0.29","3","3","3","3","1","0","2","1","1","0","0","0","0","0","0","1","0","0","0","-"
"170","Joakim Nordstrom","BOS","C","1","12.45","0","0","0","0","0","-","1","0.00","0.04","1","1","1","0","0","0","2","1","1","0","0","0","0","0","1","0","0","0","0","-"
"172","Joonas Donskoi","COL","R","1","19.2","0","0","0","0","0","-","2","0.00","0.17","3","2","3","2","0","1","2","1","1","0","0","0","0","0","0","0","0","0","0","-"
