first_name,last_name,position,injury_status,reg_line,pp_line,starting_goalie,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
John,Moore,D,,2,2,,2021-02-21,All Day,BOS,PHI,-1.5,5.5,3.1,3500,16,3.2,3.5,4.8,8.3,2.37
Travis,Sanheim,D,,2,,,2021-02-21,All Day,PHI,BOS,+1.5,5.5,2.4,4000,6,1.6,9.0,17.6,8.3,2.08
Mason,Appleton,W,,3,,,2021-02-21,All Day,WPG,VAN,+1.5,6,3,3600,2,0.0,9.9,20.0,8.1,2.25
Derek,Forbort,D,,2,,,2021-02-21,All Day,WPG,VAN,+1.5,6,3,3800,8,1.6,6.4,12.8,8.1,2.12
Jake,DeBrusk,W,,3,2,,2021-02-21,All Day,BOS,PHI,-1.5,5.5,3.1,4600,31,0.0,8.6,19.2,8.1,1.77
Derek,Stepan,C,,3,2,,2021-02-21,All Day,OTT,MTL,+1.5,6.5,2.7,3800,27,3.2,7.7,16.0,7.9,2.09
Philippe,Myers,D,,1,,,2021-02-21,All Day,PHI,BOS,+1.5,5.5,2.4,3600,6,3.2,9.3,14.4,7.9,2.20
Joel,Armia,W,,3,2,,2021-02-21,All Day,MTL,OTT,-1.5,6.5,3.9,3600,14,0.0,11.4,48.8,7.8,2.16
Charlie,Coyle,C,,2,2,,2021-02-21,All Day,BOS,PHI,-1.5,5.5,3.1,4200,17,0.0,2.6,6.4,7.7,1.84
Mike,Reilly,D,,2,,,2021-02-21,All Day,OTT,MTL,+1.5,6.5,2.7,4300,23,1.6,7.4,14.4,7.4,1.72
Adam,Gaudette,W,,3,2,,2021-02-21,All Day,VAN,WPG,-1.5,6,3,3400,8,1.6,5.4,9.6,7.3,2.13
Erik,Gustafsson,D,,3,1,,2021-02-21,All Day,PHI,BOS,+1.5,5.5,2.4,3900,6,3.2,7.5,12.8,7.2,1.85
Nolan,Patrick,C,,3,1,,2021-02-21,All Day,PHI,BOS,+1.5,5.5,2.4,3900,4,0.0,1.0,1.6,7.1,1.83
Erik,Brannstrom,D,,3,2,,2021-02-21,All Day,OTT,MTL,+1.5,6.5,2.7,3500,23,0.0,3.2,9.6,7.0,2.01
Chris,Tierney,C,,4,,,2021-02-21,All Day,OTT,MTL,+1.5,6.5,2.7,3800,27,1.6,7.7,11.2,6.9,1.82
Jordie,Benn,D,,2,,,2021-02-21,All Day,VAN,WPG,-1.5,6,3,4100,17,0.0,5.9,16.8,6.8,1.65
Austin,Watson,W,,4,,,2021-02-21,All Day,OTT,MTL,+1.5,6.5,2.7,3200,3,1.6,7.8,12.8,6.7,2.10
Brandon,Carlo,D,,2,,,2021-02-21,All Day,BOS,PHI,-1.5,5.5,3.1,3800,16,1.6,3.8,9.6,6.5,1.72
Artturi,Lehkonen,W,,4,,,2021-02-21,All Day,MTL,OTT,-1.5,6.5,3.9,3300,14,0.0,3.2,4.8,6.3,1.92
Tucker,Poolman,D,,1,,,2021-02-21,All Day,WPG,VAN,+1.5,6,3,3500,8,1.6,6.1,11.2,6.1,1.75
Nicolas,Aube-Kubel,W,,2,,,2021-02-21,All Day,PHI,BOS,+1.5,5.5,2.4,3200,21,0.0,5.9,15.2,6.1,1.92
Mathieu,Perreault,W,,3,2,,2021-02-21,All Day,WPG,VAN,+1.5,6,3,3200,2,3.2,8.6,15.2,6.0,1.88
Alexander,Romanov,D,,3,,,2021-02-21,All Day,MTL,OTT,-1.5,6.5,3.9,3600,26,1.6,7.0,14.4,5.8,1.61
Jeremy,Lauzon,D,,1,,,2021-02-21,All Day,BOS,PHI,-1.5,5.5,3.1,3600,16,0.0,4.8,11.2,5.8,1.60
Adam,Lowry,C,,3,2,,2021-02-21,All Day,WPG,VAN,+1.5,6,3,3600,16,3.2,4.8,8.0,5.6,1.57
Michael,Raffl,W,,2,2,,2021-02-21,All Day,PHI,BOS,+1.5,5.5,2.4,3200,21,1.6,7.7,16.0,5.2,1.62
Brandon,Sutter,C,,3,,,2021-02-21,All Day,VAN,WPG,-1.5,6,3,3200,22,1.6,6.6,15.2,5.1,1.60
Erik,Gudbranson,D,,3,,,2021-02-21,All Day,OTT,MTL,+1.5,6.5,2.7,3500,23,0.0,4.2,6.4,5.1,1.45
Antoine,Roussel,W,,3,,,2021-02-21,All Day,VAN,WPG,-1.5,6,3,3100,8,1.6,2.2,4.8,5.0,1.61
Sean,Kuraly,C,,4,,,2021-02-21,All Day,BOS,PHI,-1.5,5.5,3.1,3500,17,1.6,7.5,15.2,4.3,1.23
Connor,Clifton,D,,3,2,,2021-02-21,All Day,BOS,PHI,-1.5,5.5,3.1,3500,16,1.6,3.8,6.4,4.3,1.23
Robert,Hagg,D,,3,,,2021-02-21,All Day,PHI,BOS,+1.5,5.5,2.4,3500,6,3.2,6.2,18.4,4.3,1.21
Dylan,DeMelo,D,,3,,,2021-02-21,All Day,WPG,VAN,+1.5,6,3,3700,8,0.0,4.5,14.4,4.2,1.13
Jake,Evans,C,,4,,,2021-02-21,All Day,MTL,OTT,-1.5,6.5,3.9,3200,31,1.6,4.2,6.4,4.2,1.30
Chris,Wagner,W,,4,,,2021-02-21,All Day,BOS,PHI,-1.5,5.5,3.1,3000,31,0.0,5.4,17.2,4.1,1.35
Olli,Juolevi,D,,3,,,2021-02-21,All Day,VAN,WPG,-1.5,6,3,3500,17,1.6,3.8,6.4,4.1,1.18
Victor,Mete,D,,3,,,2021-02-21,All Day,MTL,OTT,-1.5,6.5,3.9,3500,26,0.0,2.2,4.8,3.9,1.12
Jack,Studnicka,W,,3,,,2021-02-21,All Day,BOS,PHI,-1.5,5.5,3.1,3200,17,0.0,4.6,16.8,3.9,1.23
Artem,Zub,D,,2,,,2021-02-21,All Day,OTT,MTL,+1.5,6.5,2.7,3500,23,0.0,5.0,20.0,3.9,1.11
Trevor,Lewis,W,,4,,,2021-02-21,All Day,WPG,VAN,+1.5,6,3,3200,2,0.0,3.5,8.0,3.7,1.17
Anders,Bjork,W,,3,,,2021-02-21,All Day,BOS,PHI,-1.5,5.5,3.1,3200,31,3.2,6.6,13.6,3.6,1.12
Loui,Eriksson,W,,4,,,2021-02-21,All Day,VAN,WPG,-1.5,6,3,3000,8,0.0,3.5,12.8,3.5,1.17
Jake,Virtanen,W,,4,,,2021-02-21,All Day,VAN,WPG,-1.5,6,3,3500,8,0.0,2.6,6.4,3.5,1.00
Paul,Byron,W,,4,,,2021-02-21,All Day,MTL,OTT,-1.5,6.5,3.9,3000,14,0.0,4.0,13.6,3.5,1.16
Nathan,Beaulieu,D,,3,,,2021-02-21,All Day,WPG,VAN,+1.5,6,3,3500,8,1.6,2.6,4.8,3.1,0.87
David,Kase,W,,3,2,,2021-02-21,All Day,PHI,BOS,+1.5,5.5,2.4,3000,21,0.0,3.4,13.6,3.0,1.00
Thomas,Chabot,D,DTD,1,1,,2021-02-21,All Day,OTT,MTL,+1.5,6.5,2.7,4900,23,1.6,9.3,17.6,2.8,0.57
Samuel,Morin,D,,4,,,2021-02-21,All Day,PHI,BOS,+1.5,5.5,2.4,3500,21,0.0,1.9,3.2,2.7,0.77
Jansen,Harkins,W,,4,,,2021-02-21,All Day,WPG,VAN,+1.5,6,3,3000,2,0.0,1.3,3.2,2.4,0.78
Connor,Bunnaman,C,,3,,,2021-02-21,All Day,PHI,BOS,+1.5,5.5,2.4,3000,21,0.0,1.3,3.2,2.3,0.76
Andy,Andreoff,W,,4,,,2021-02-21,All Day,PHI,BOS,+1.5,5.5,2.4,3000,4,0.0,1.3,3.2,2.3,0.78
Jay,Beagle,C,,4,,,2021-02-21,All Day,VAN,WPG,-1.5,6,3,3300,22,0.0,1.3,3.2,2.2,0.68
Trent,Frederic,C,,4,,,2021-02-21,All Day,BOS,PHI,-1.5,5.5,3.1,3000,31,0.0,0.6,1.6,2.0,0.65
Nate,Thompson,C,,4,,,2021-02-21,All Day,WPG,VAN,+1.5,6,3,3200,16,0.0,0.6,1.6,1.7,0.54
Eric,Comrie,G,O,,,-YES,2021-02-21,All Day,WPG,VAN,+1.5,6,3,6500,29,-1.6,6.4,24.0,0.0,0.00
