first_name,last_name,position,injury_status,reg_line,pp_line,starting_goalie,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
John,Klingberg,D,,1,1,,2021-03-21,All Day,DAL,NSH,-1.5,5.5,3.1,5500,23,3.2,7.7,16.0,13.0,2.37
Miro,Heiskanen,D,,2,1,,2021-03-21,All Day,DAL,NSH,-1.5,5.5,3.1,4600,23,1.6,11.5,31.7,13.0,2.83
Jamie,Benn,W,,2,1,,2021-03-21,All Day,DAL,NSH,-1.5,5.5,3.1,6600,16,4.8,12.3,26.4,12.9,1.96
Mark,Stone,W,,1,1,,2021-03-21,All Day,VGK,LAK,-1.5,5.5,3.1,7600,20,10.1,20.0,33.6,12.9,1.70
Ondrej,Palat,W,,1,1,,2021-03-21,All Day,TBL,FLA,-1.5,6,3.2,6300,13,3.2,9.4,22.9,12.6,2.01
Roope,Hintz,C,,1,2,,2021-03-21,All Day,DAL,NSH,-1.5,5.5,3.1,5400,27,3.2,15.6,23.2,12.5,2.31
Alec,Martinez,D,,1,2,,2021-03-21,All Day,VGK,LAK,-1.5,5.5,3.1,4500,13,4.8,17.8,25.3,12.3,2.72
Anze,Kopitar,C,,1,1,,2021-03-21,All Day,LAK,VGK,+1.5,5.5,2.4,7800,6,1.6,14.9,25.3,12.3,1.57
Jonathan,Huberdeau,W,,2,1,,2021-03-21,All Day,FLA,TBL,+1.5,6,2.8,7500,14,3.2,15.4,24.5,12.0,1.60
Shea,Theodore,D,,1,1,,2021-03-21,All Day,VGK,LAK,-1.5,5.5,3.1,6200,13,11.2,19.5,38.6,11.9,1.92
Mattias,Ekholm,D,,1,1,,2021-03-21,All Day,NSH,DAL,+1.5,5.5,2.4,4100,15,3.2,13.7,26.8,11.6,2.83
Drew,Doughty,D,,1,1,,2021-03-21,All Day,LAK,VGK,+1.5,5.5,2.4,6600,17,4.8,11.6,25.3,11.4,1.73
Viktor,Arvidsson,W,,2,2,,2021-03-21,All Day,NSH,DAL,+1.5,5.5,2.4,5100,2,1.6,10.8,22.1,11.3,2.21
Esa,Lindell,D,,1,2,,2021-03-21,All Day,DAL,NSH,-1.5,5.5,3.1,3700,23,1.6,6.5,14.9,11.3,3.05
Mikhail,Sergachev,D,,3,2,,2021-03-21,All Day,TBL,FLA,-1.5,6,3.2,4600,5,4.8,9.4,12.8,11.2,2.43
Aaron,Ekblad,D,,1,1,,2021-03-21,All Day,FLA,TBL,+1.5,6,2.8,5700,4,3.2,9.9,17.3,11.2,1.96
Mikael,Granlund,C,,2,1,,2021-03-21,All Day,NSH,DAL,+1.5,5.5,2.4,4700,21,0.0,4.8,12.8,10.8,2.31
Patric,Hornqvist,W,,2,1,,2021-03-21,All Day,FLA,TBL,+1.5,6,2.8,6000,14,3.2,11.7,16.8,10.8,1.81
Jonathan,Marchessault,W,,2,2,,2021-03-21,All Day,VGK,LAK,-1.5,5.5,3.1,6400,20,9.6,15.3,31.7,10.4,1.62
Denis,Gurianov,W,,1,2,,2021-03-21,All Day,DAL,NSH,-1.5,5.5,3.1,4300,16,0.0,7.5,17.6,10.4,2.43
Anthony,Cirelli,W,,2,2,,2021-03-21,All Day,TBL,FLA,-1.5,6,3.2,5700,13,3.2,10.6,23.2,10.3,1.80
Jason,Robertson,W,,1,1,,2021-03-21,All Day,DAL,NSH,-1.5,5.5,3.1,4000,16,4.8,10.0,18.1,10.3,2.57
Alex,Killorn,W,,2,1,,2021-03-21,All Day,TBL,FLA,-1.5,6,3.2,4900,13,0.0,12.4,21.3,10.2,2.08
Chandler,Stephenson,C,,1,1,,2021-03-21,All Day,VGK,LAK,-1.5,5.5,3.1,4700,11,1.6,10.2,16.0,10.1,2.15
William,Karlsson,C,,2,2,,2021-03-21,All Day,VGK,LAK,-1.5,5.5,3.1,5700,11,4.8,10.1,13.6,10.0,1.75
Alex,Iafallo,W,,1,1,,2021-03-21,All Day,LAK,VGK,+1.5,5.5,2.4,4700,25,1.6,11.9,20.0,10.0,2.12
Yanni,Gourde,C,,1,2,,2021-03-21,All Day,TBL,FLA,-1.5,6,3.2,4100,13,4.8,12.9,20.5,9.9,2.41
Ryan,McDonagh,D,,2,,,2021-03-21,All Day,TBL,FLA,-1.5,6,3.2,4000,5,1.6,5.1,9.6,9.9,2.46
Keith,Yandle,D,,3,1,,2021-03-21,All Day,FLA,TBL,+1.5,6,2.8,4200,4,1.6,6.3,10.1,9.7,2.30
MacKenzie,Weegar,D,,1,,,2021-03-21,All Day,FLA,TBL,+1.5,6,2.8,4000,4,12.8,16.7,20.8,9.7,2.43
Dustin,Brown,W,,1,,,2021-03-21,All Day,LAK,VGK,+1.5,5.5,2.4,5500,25,4.8,7.9,17.3,9.7,1.76
Radek,Faksa,C,,3,2,,2021-03-21,All Day,DAL,NSH,-1.5,5.5,3.1,3500,27,3.2,7.0,14.4,9.6,2.75
Ryan,Johansen,C,,1,1,,2021-03-21,All Day,NSH,DAL,+1.5,5.5,2.4,4900,21,0.0,4.2,11.2,9.6,1.95
Adrian,Kempe,W,,2,1,,2021-03-21,All Day,LAK,VGK,+1.5,5.5,2.4,5900,25,1.6,9.1,34.1,9.4,1.60
Jamie,Oleksiak,D,,2,,,2021-03-21,All Day,DAL,NSH,-1.5,5.5,3.1,3600,23,0.0,5.4,11.2,9.0,2.49
Jeff,Carter,W,,3,,,2021-03-21,All Day,LAK,VGK,+1.5,5.5,2.4,4200,25,4.8,7.4,16.0,8.8,2.10
Carter,Verhaeghe,W,,1,,,2021-03-21,All Day,FLA,TBL,+1.5,6,2.8,4800,14,1.6,15.4,26.4,8.7,1.81
Alex,Tuch,W,,3,2,,2021-03-21,All Day,VGK,LAK,-1.5,5.5,3.1,4600,20,3.2,7.8,15.2,8.7,1.88
Eeli,Tolvanen,W,,1,1,,2021-03-21,All Day,NSH,DAL,+1.5,5.5,2.4,3600,2,0.0,5.9,18.4,8.7,2.41
Reilly,Smith,W,,2,2,,2021-03-21,All Day,VGK,LAK,-1.5,5.5,3.1,4600,20,0.0,9.9,28.5,8.6,1.88
Anthony,Duclair,W,,1,,,2021-03-21,All Day,FLA,TBL,+1.5,6,2.8,4000,14,0.0,11.0,26.4,8.4,2.11
Frank,Vatrano,W,,3,2,,2021-03-21,All Day,FLA,TBL,+1.5,6,2.8,3800,14,4.8,10.2,20.0,8.3,2.18
Calle,Jarnkrok,W,,2,2,,2021-03-21,All Day,NSH,DAL,+1.5,5.5,2.4,3500,2,1.6,18.7,43.3,8.3,2.37
Andreas,Athanasiou,W,,2,2,,2021-03-21,All Day,LAK,VGK,+1.5,5.5,2.4,3700,25,1.6,6.2,16.8,8.3,2.23
Gabriel,Vilardi,C,,2,2,,2021-03-21,All Day,LAK,VGK,+1.5,5.5,2.4,3600,6,0.0,3.2,9.6,8.2,2.29
Matt,Roy,D,,2,,,2021-03-21,All Day,LAK,VGK,+1.5,5.5,2.4,3700,17,1.6,6.8,14.9,7.8,2.12
Tyler,Johnson,C,,3,2,,2021-03-21,All Day,TBL,FLA,-1.5,6,3.2,4300,13,0.0,5.9,24.8,7.8,1.81
Jason,Dickinson,C,,3,,,2021-03-21,All Day,DAL,NSH,-1.5,5.5,3.1,3800,27,3.2,9.1,18.4,7.7,2.04
Noel,Acciari,C,,4,,,2021-03-21,All Day,FLA,TBL,+1.5,6,2.8,3500,14,0.0,7.4,14.8,7.6,2.18
Erik,Haula,W,,3,2,,2021-03-21,All Day,NSH,DAL,+1.5,5.5,2.4,3700,21,1.6,7.1,15.7,7.6,2.05
Mikey,Anderson,D,,1,,,2021-03-21,All Day,LAK,VGK,+1.5,5.5,2.4,3600,17,1.6,3.5,6.4,7.5,2.09
Gustav,Forsling,D,,2,2,,2021-03-21,All Day,FLA,TBL,+1.5,6,2.8,3700,4,3.2,10.2,26.9,7.4,2.00
Dante,Fabbro,D,,2,,,2021-03-21,All Day,NSH,DAL,+1.5,5.5,2.4,3700,15,1.6,7.4,12.8,7.3,1.98
Sean,Walker,D,,3,2,,2021-03-21,All Day,LAK,VGK,+1.5,5.5,2.4,3600,17,4.8,7.0,9.6,7.2,2.01
Alexandre,Carrier,D,,1,2,,2021-03-21,All Day,NSH,DAL,+1.5,5.5,2.4,3500,15,6.4,12.0,21.6,7.2,2.05
Brayden,McNabb,D,,3,,,2021-03-21,All Day,VGK,LAK,-1.5,5.5,3.1,3500,13,0.0,3.8,14.4,6.9,1.97
Blake,Coleman,W,,3,,,2021-03-21,All Day,TBL,FLA,-1.5,6,3.2,3900,13,1.6,9.4,23.2,6.8,1.74
Erik,Cernak,D,,2,,,2021-03-21,All Day,TBL,FLA,-1.5,6,3.2,3900,5,3.2,8.6,20.8,6.8,1.74
Jaret,Anderson-Dolan,C,,4,,,2021-03-21,All Day,LAK,VGK,+1.5,5.5,2.4,3300,6,1.6,13.2,23.7,6.6,1.99
Nick,Cousins,W,,3,2,,2021-03-21,All Day,NSH,DAL,+1.5,5.5,2.4,3100,2,0.0,6.0,13.6,6.5,2.09
Jan,Rutta,D,,1,,,2021-03-21,All Day,TBL,FLA,-1.5,6,3.2,3500,5,0.0,3.8,9.6,6.3,1.80
Cody,Glass,C,,3,1,,2021-03-21,All Day,VGK,LAK,-1.5,5.5,3.1,3500,11,0.0,4.7,17.3,6.3,1.81
Nicolas,Hague,D,,2,,,2021-03-21,All Day,VGK,LAK,-1.5,5.5,3.1,3500,13,3.2,12.0,18.4,6.1,1.75
Owen,Tippett,W,,3,2,,2021-03-21,All Day,FLA,TBL,+1.5,6,2.8,3000,14,1.6,10.7,16.8,5.9,1.95
Joel,Kiviranta,W,,2,2,,2021-03-21,All Day,DAL,NSH,-1.5,5.5,3.1,3600,16,0.0,3.2,9.6,5.9,1.64
Barclay,Goodrow,W,,3,,,2021-03-21,All Day,TBL,FLA,-1.5,6,3.2,3600,13,1.6,3.8,8.0,5.8,1.61
Tobias,Bjornfot,D,,2,,,2021-03-21,All Day,LAK,VGK,+1.5,5.5,2.4,3600,17,0.0,4.2,9.6,5.8,1.60
Dylan,Coghlan,D,,3,,,2021-03-21,All Day,VGK,LAK,-1.5,5.5,3.1,3600,13,1.6,4.5,11.2,5.7,1.59
Tomas,Nosek,W,,4,,,2021-03-21,All Day,VGK,LAK,-1.5,5.5,3.1,3100,11,1.6,12.7,26.4,5.7,1.82
Zach,Whitecloud,D,,2,,,2021-03-21,All Day,VGK,LAK,-1.5,5.5,3.1,3500,13,4.8,8.3,16.0,5.6,1.59
Olli,Maatta,D,,3,,,2021-03-21,All Day,LAK,VGK,+1.5,5.5,2.4,3500,17,0.0,1.9,4.8,5.3,1.52
Anton,Stralman,D,,3,,,2021-03-21,All Day,FLA,TBL,+1.5,6,2.8,3600,4,0.0,1.9,3.2,5.3,1.48
Trevor,Moore,W,,4,2,,2021-03-21,All Day,LAK,VGK,+1.5,5.5,2.4,3000,25,1.6,10.9,24.8,5.2,1.72
Ty,Dellandrea,W,,3,,,2021-03-21,All Day,DAL,NSH,-1.5,5.5,3.1,3200,16,0.0,7.7,20.5,5.1,1.58
Nicolas,Roy,W,,3,,,2021-03-21,All Day,VGK,LAK,-1.5,5.5,3.1,3200,20,0.0,2.2,8.0,5.1,1.59
Radko,Gudas,D,,2,,,2021-03-21,All Day,FLA,TBL,+1.5,6,2.8,3700,4,3.2,7.4,14.4,5.1,1.39
Andrej,Sekera,D,,3,,,2021-03-21,All Day,DAL,NSH,-1.5,5.5,3.1,3500,23,1.6,8.0,20.0,5.0,1.43
Alex,Wennberg,C,,2,2,,2021-03-21,All Day,FLA,TBL,+1.5,6,2.8,4100,18,0.0,7.3,28.5,4.9,1.19
Ben,Harpur,D,,2,,,2021-03-21,All Day,NSH,DAL,+1.5,5.5,2.4,3500,15,0.0,3.5,8.0,4.7,1.35
William,Carrier,W,,4,,,2021-03-21,All Day,VGK,LAK,-1.5,5.5,3.1,3000,20,1.6,6.6,16.8,4.5,1.51
Mason,Marchment,W,,4,2,,2021-03-21,All Day,FLA,TBL,+1.5,6,2.8,3100,14,0.0,4.5,12.8,4.5,1.44
Joel,Hanley,D,,3,,,2021-03-21,All Day,DAL,NSH,-1.5,5.5,3.1,3500,23,3.2,4.8,9.6,4.5,1.28
Cal,Foote,D,,3,,,2021-03-21,All Day,TBL,FLA,-1.5,6,3.2,3500,5,0.0,2.9,6.4,4.5,1.30
Matt,Benning,D,,3,,,2021-03-21,All Day,NSH,DAL,+1.5,5.5,2.4,3500,15,0.0,3.2,6.4,4.4,1.25
Austin,Wagner,W,,3,,,2021-03-21,All Day,LAK,VGK,+1.5,5.5,2.4,3600,25,1.6,3.2,4.8,4.3,1.19
Yakov,Trenin,W,,4,,,2021-03-21,All Day,NSH,DAL,+1.5,5.5,2.4,3000,2,0.0,7.5,26.4,4.2,1.40
Mathieu,Olivier,W,,4,,,2021-03-21,All Day,NSH,DAL,+1.5,5.5,2.4,3000,2,0.0,3.5,11.2,4.1,1.37
Mathieu,Joseph,W,,4,,,2021-03-21,All Day,TBL,FLA,-1.5,6,3.2,3200,13,1.6,9.6,16.8,4.1,1.28
Carl,Grundstrom,W,,4,,,2021-03-21,All Day,LAK,VGK,+1.5,5.5,2.4,3100,25,1.6,5.6,15.2,4.0,1.28
Tanner,Kero,W,,4,,,2021-03-21,All Day,DAL,NSH,-1.5,5.5,3.1,3000,16,0.0,4.0,15.2,3.9,1.29
Ryan,Lomberg,W,,4,,,2021-03-21,All Day,FLA,TBL,+1.5,6,2.8,3000,14,1.6,5.0,15.2,3.8,1.26
Blake,Lizotte,C,,3,,,2021-03-21,All Day,LAK,VGK,+1.5,5.5,2.4,3200,6,0.0,3.2,11.2,3.8,1.19
Ross,Colton,C,,4,,,2021-03-21,All Day,TBL,FLA,-1.5,6,3.2,3000,13,1.6,6.2,13.6,3.4,1.13
Nick,Caamano,W,,4,,,2021-03-21,All Day,DAL,NSH,-1.5,5.5,3.1,3000,16,1.6,3.2,6.4,3.2,1.07
Rhett,Gardner,W,,4,,,2021-03-21,All Day,DAL,NSH,-1.5,5.5,3.1,3000,27,0.0,2.9,8.0,3.2,1.08
Jeremy,Davies,D,,3,,,2021-03-21,All Day,NSH,DAL,+1.5,5.5,2.4,3500,15,1.6,2.9,4.8,3.2,0.91
Rocco,Grimaldi,W,,3,,,2021-03-21,All Day,NSH,DAL,+1.5,5.5,2.4,3100,2,0.0,2.2,4.8,3.1,1.00
Colton,Sissons,C,,4,,,2021-03-21,All Day,NSH,DAL,+1.5,5.5,2.4,3100,21,1.6,3.2,6.4,3.0,0.98
Ryan,Reaves,W,,4,,,2021-03-21,All Day,VGK,LAK,-1.5,5.5,3.1,3000,20,0.0,3.4,15.2,3.0,1.01
Kasimir,Kaskisuo,G,,,,,2021-03-21,All Day,NSH,DAL,+1.5,5.5,2.4,6800,25,1.6,2.0,2.4,2.4,0.35
Eetu,Luostarinen,C,,3,,,2021-03-21,All Day,FLA,TBL,+1.5,6,2.8,3400,18,0.0,0.3,1.6,1.5,0.44
