date,team,name,position,evTOI,evG,evA,evSH,evBkS,evixG,ppTOI,ppG,ppA,ppSH,ppBkS,ppixG,pkTOI,pkG,pkA,pkSH,pkBkS,pkixG,evFP,ppFP,pkFP,TOI,FP,FP/60
20_01_08,TOR,Frederik Gauthier,C,4.85,0,0,1,0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.91666666666667,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,5.766666666666669,1.6,16.64739884393063
20_01_08,WSH,Garnet Hathaway,R,10.066666666667,0,0,3,1,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.66666666666667,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,10.73333333333367,6.4,35.77639751552683
20_01_08,TOR,William Nylander,R,19.133333333333,0,0,2,0,0.14,4.75,0.0,0.0,0.0,0.0,0.0,0.11666666666667,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,23.99999999999967,3.2,8.00000000000011
20_01_08,PHI,Travis Sanheim,D,17.616666666667,0,0,0,0,0.0,1.85,0.0,0.0,0.0,0.0,0.0,3.3166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.7833333333337,0.0,0.0
20_01_08,L.A,Adrian Kempe,C,13.783333333333,0,0,0,0,0.03,2.4333333333333,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8166666666663,0.0,0.0
20_01_08,PHI,Nicolas Aube-Kubel,R,8.4,0,0,3,0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.800000000000001,0.0,0.0,8.4,4.800000000000001,34.28571428571429
20_01_08,PHI,Mark Friedman,D,11.816666666667,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.816666666667,0.0,0.0
20_01_08,L.A,Michael Amadio,C,12.183333333333,0,0,2,0,0.11,1.3333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,13.5166666666663,3.2,14.204685573366602
20_01_08,TOR,Pierre Engvall,L,13.0,0,0,2,0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.96666666666667,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,13.96666666666667,3.2,13.747016706443912
20_01_08,WSH,Jonas Siegenthaler,D,12.833333333333,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.6,14.683333333333,1.6,6.5380249716233045
20_01_08,TOR,Travis Dermott,D,18.6,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.800000000000001,0.0,0.0,18.6,4.800000000000001,15.483870967741936
