date,team,name,position,evTOI,evG,evA,evSH,evBkS,evixG,ppTOI,ppG,ppA,ppSH,ppBkS,ppixG,pkTOI,pkG,pkA,pkSH,pkBkS,pkixG,evFP,ppFP,pkFP,TOI,FP,FP/60,SA,SV,GA,SV%,GSAA,xGA,xGSAA,win,SO
19_10_13,WPG,Tucker Poolman,D,16.966666666667,0.0,0.0,2.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,16.966666666667,3.2,11.316306483300368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,WPG,Andrew Copp,C,13.05,0.0,0.0,0.0,0.0,0.05,3.1666666666667,0.0,0.0,0.0,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,VGK,Shea Theodore,D,16.233333333333,0.0,0.0,2.0,0.0,0.09,3.4,0.0,2.0,2.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,3.2,20.2,0.0,19.633333333333,23.4,71.51103565365146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,VGK,Valentin Zykov,L,11.4,0.0,0.0,0.0,0.0,0.0,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,WPG,Carl Dahlstrom,D,15.133333333333,0.0,0.0,1.0,1.0,0.05,0.31666666666667,0.0,0.0,0.0,0.0,0.0,1.1166666666667,0.0,0.0,0.0,1.0,0.0,3.2,0.0,1.6,16.56666666666637,4.800000000000001,17.384305835010373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,VGK,William Carrier,L,10.216666666667,0.0,0.0,1.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,10.216666666667,1.6,9.39641109298501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,CGY,Sean Monahan,C,15.516666666667,0.0,0.0,2.0,0.0,0.16,4.3666666666667,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,19.8833333333337,3.2,9.65632858340301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,WPG,Josh Morrissey,D,16.85,0.0,0.0,1.0,1.0,0.0,5.7666666666667,0.0,1.0,1.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,3.2,10.1,0.0,22.616666666666703,13.3,35.283714075165754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,S.J,Melker Karlsson,C,12.366666666667,0.0,0.0,1.0,1.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,2.8833333333333,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,15.250000000000298,3.2,12.590163934425982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,VGK,Tomas Nosek,L,10.7,0.0,0.0,3.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,1.2333333333333,0.0,0.0,0.0,0.0,0.0,4.800000000000001,0.0,0.0,11.9333333333333,4.800000000000001,24.134078212290575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,CGY,Sam Bennett,C,9.4833333333333,0.0,0.0,1.0,1.0,0.0,2.6833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,12.1666666666666,3.2,15.780821917808307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,WPG,Nikolaj Ehlers,L,13.133333333333,0.0,0.0,1.0,2.0,0.01,2.9166666666667,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,4.800000000000001,0.0,0.0,16.199999999999697,4.800000000000001,17.777777777778113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,PIT,Jared McCann,C,12.466666666667,0.0,0.0,0.0,2.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,1.0,0.0,0.04,3.2,0.0,1.6,13.216666666667,4.800000000000001,21.79066834804485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,L.A,Michael Amadio,C,12.733333333333,0.0,0.0,3.0,0.0,0.4,1.65,0.0,0.0,0.0,0.0,0.0,0.83333333333333,0.0,0.0,0.0,0.0,0.0,4.800000000000001,0.0,0.0,15.216666666666331,4.800000000000001,18.926615553121998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,CGY,Andrew Mangiapane,L,10.45,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,CGY,Noah Hanifin,D,17.533333333333,0.0,0.0,0.0,1.0,0.01,1.3333333333333,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,19.416666666666302,1.6,4.944206008583785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,CGY,Rasmus Andersson,D,15.166666666667,0.0,0.0,2.0,1.0,0.1,2.7666666666667,0.0,0.0,0.0,0.0,0.0,0.016666666666667,0.0,0.0,0.0,0.0,0.0,4.800000000000001,0.0,0.0,17.950000000000365,4.800000000000001,16.044568245125024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
